propertyName,defaultValue
alluxio.integration.master.resource.cpu,"1"
alluxio.integration.master.resource.mem,"1024MB"
alluxio.integration.mesos.alluxio.jar.url,"http://downloads.alluxio.org/downloads/files/${alluxio.version}/alluxio-${alluxio.version}-bin.tar.gz"
alluxio.integration.mesos.jdk.path,"jdk1.8.0_151"
alluxio.integration.mesos.jdk.url,"https://alluxio-mesos.s3.amazonaws.com/jdk-8u151-linux-x64.tar.gz"
alluxio.integration.mesos.master.name,"AlluxioMaster"
alluxio.integration.mesos.master.node.count,"1"
alluxio.integration.mesos.principal,"alluxio"
alluxio.integration.mesos.role,"*"
alluxio.integration.mesos.secret,""
alluxio.integration.mesos.user,""
alluxio.integration.mesos.worker.name,"AlluxioWorker"
alluxio.integration.worker.resource.cpu,"1"
alluxio.integration.worker.resource.mem,"1024MB"
alluxio.integration.yarn.workers.per.host.max,"1"
