propertyName,defaultValue
alluxio.worker.allocator.class,"alluxio.worker.block.allocator.MaxFreeAllocator"
alluxio.worker.bind.host,"0.0.0.0"
alluxio.worker.block.heartbeat.interval,"1sec"
alluxio.worker.block.heartbeat.timeout,"${alluxio.worker.master.connect.retry.timeout}"
alluxio.worker.block.master.client.pool.size,"11"
alluxio.worker.block.threads.max,"2048"
alluxio.worker.block.threads.min,"256"
alluxio.worker.data.folder,"/alluxioworker/"
alluxio.worker.data.folder.permissions,"rwxrwxrwx"
alluxio.worker.data.folder.tmp,".tmp_blocks"
alluxio.worker.data.server.class,"alluxio.worker.grpc.GrpcDataServer"
alluxio.worker.data.server.domain.socket.address,""
alluxio.worker.data.server.domain.socket.as.uuid,"false"
alluxio.worker.data.tmp.subdir.max,"1024"
alluxio.worker.evictor.class,"alluxio.worker.block.evictor.LRUEvictor"
alluxio.worker.evictor.lrfu.attenuation.factor,"2.0"
alluxio.worker.evictor.lrfu.step.factor,"0.25"
alluxio.worker.file.buffer.size,"1MB"
alluxio.worker.file.persist.pool.size,"64"
alluxio.worker.file.persist.rate.limit,"2GB"
alluxio.worker.file.persist.rate.limit.enabled,"false"
alluxio.worker.filesystem.heartbeat.interval,"1sec"
alluxio.worker.free.space.timeout,"10sec"
alluxio.worker.hostname,""
alluxio.worker.jvm.monitor.enabled,"false"
alluxio.worker.keytab.file,""
alluxio.worker.master.connect.retry.timeout,"1hour"
alluxio.worker.memory.size,"2/3 of total system memory, or 1GB if system memory size cannot be determined"
alluxio.worker.network.async.cache.manager.threads.max,"8"
alluxio.worker.network.block.reader.threads.max,"2048"
alluxio.worker.network.block.writer.threads.max,"1024"
alluxio.worker.network.flowcontrol.window,"2MB"
alluxio.worker.network.keepalive.time,"30sec"
alluxio.worker.network.keepalive.timeout,"30sec"
alluxio.worker.network.max.inbound.message.size,"4MB"
alluxio.worker.network.netty.boss.threads,"1"
alluxio.worker.network.netty.channel,"EPOLL"
alluxio.worker.network.netty.shutdown.quiet.period,"2sec"
alluxio.worker.network.netty.watermark.high,"32KB"
alluxio.worker.network.netty.watermark.low,"8KB"
alluxio.worker.network.netty.worker.threads,"0"
alluxio.worker.network.reader.max.chunk.size.bytes,"2MB"
alluxio.worker.network.shutdown.timeout,"15sec"
alluxio.worker.network.writer.buffer.size.messages,"8"
alluxio.worker.network.zerocopy.enabled,"true"
alluxio.worker.port,"29999"
alluxio.worker.principal,""
alluxio.worker.session.timeout,"1min"
alluxio.worker.storage.checker.enabled,"true"
alluxio.worker.tieredstore.block.lock.readers,"1000"
alluxio.worker.tieredstore.block.locks,"1000"
alluxio.worker.tieredstore.level0.alias,"MEM"
alluxio.worker.tieredstore.level0.dirs.path,"/mnt/ramdisk on Linux, /Volumes/ramdisk on OSX"
alluxio.worker.tieredstore.level0.dirs.quota,"${alluxio.worker.memory.size}"
alluxio.worker.tieredstore.level0.reserved.ratio,""
alluxio.worker.tieredstore.level0.watermark.high.ratio,"0.95"
alluxio.worker.tieredstore.level0.watermark.low.ratio,"0.7"
alluxio.worker.tieredstore.level1.alias,""
alluxio.worker.tieredstore.level1.dirs.path,""
alluxio.worker.tieredstore.level1.dirs.quota,""
alluxio.worker.tieredstore.level1.reserved.ratio,""
alluxio.worker.tieredstore.level1.watermark.high.ratio,"0.95"
alluxio.worker.tieredstore.level1.watermark.low.ratio,"0.7"
alluxio.worker.tieredstore.level2.alias,""
alluxio.worker.tieredstore.level2.dirs.path,""
alluxio.worker.tieredstore.level2.dirs.quota,""
alluxio.worker.tieredstore.level2.reserved.ratio,""
alluxio.worker.tieredstore.level2.watermark.high.ratio,"0.95"
alluxio.worker.tieredstore.level2.watermark.low.ratio,"0.7"
alluxio.worker.tieredstore.levels,"1"
alluxio.worker.tieredstore.reserver.enabled,"true"
alluxio.worker.tieredstore.reserver.interval,"1sec"
alluxio.worker.tieredstore.retry,"3"
alluxio.worker.ufs.block.open.timeout,"5min"
alluxio.worker.ufs.instream.cache.enabled,"true"
alluxio.worker.ufs.instream.cache.expiration.time,"5min"
alluxio.worker.ufs.instream.cache.max.size,"5000"
alluxio.worker.web.bind.host,"0.0.0.0"
alluxio.worker.web.hostname,""
alluxio.worker.web.port,"30000"
