propertyName,defaultValue
alluxio.worker.allocator.class,"alluxio.worker.block.allocator.MaxFreeAllocator"
alluxio.worker.bind.host,"0.0.0.0"
alluxio.worker.block.annotator.class,"alluxio.worker.block.annotator.LRUAnnotator"
alluxio.worker.block.annotator.lrfu.attenuation.factor,"2.0"
alluxio.worker.block.annotator.lrfu.step.factor,"0.25"
alluxio.worker.block.heartbeat.interval,"1sec"
alluxio.worker.block.heartbeat.timeout,"${alluxio.worker.master.connect.retry.timeout}"
alluxio.worker.block.master.client.pool.size,"11"
alluxio.worker.block.store.type,"FILE"
alluxio.worker.container.hostname,""
alluxio.worker.data.folder,"/alluxioworker/"
alluxio.worker.data.folder.permissions,"rwxrwxrwx"
alluxio.worker.data.folder.tmp,".tmp_blocks"
alluxio.worker.data.server.domain.socket.address,""
alluxio.worker.data.server.domain.socket.as.uuid,"false"
alluxio.worker.data.tmp.subdir.max,"1024"
alluxio.worker.evictor.class,""
alluxio.worker.free.space.timeout,"10sec"
alluxio.worker.fuse.enabled,"false"
alluxio.worker.hostname,""
alluxio.worker.jvm.monitor.enabled,"true"
alluxio.worker.keytab.file,""
alluxio.worker.management.backoff.strategy,"ANY"
alluxio.worker.management.block.transfer.concurrency.limit,"Use {CPU core count}/2 threads block transfer."
alluxio.worker.management.load.detection.cool.down.time,"10sec"
alluxio.worker.management.task.thread.count,"Use {CPU core count} threads for all management tasks."
alluxio.worker.management.tier.align.enabled,"true"
alluxio.worker.management.tier.align.range,"100"
alluxio.worker.management.tier.align.reserved.bytes,"1GB"
alluxio.worker.management.tier.promote.enabled,"true"
alluxio.worker.management.tier.promote.quota.percent,"90"
alluxio.worker.management.tier.promote.range,"100"
alluxio.worker.management.tier.swap.restore.enabled,"true"
alluxio.worker.master.connect.retry.timeout,"1hour"
alluxio.worker.master.periodical.rpc.timeout,"5min"
alluxio.worker.network.async.cache.manager.queue.max,"512"
alluxio.worker.network.async.cache.manager.threads.max,"2 * {CPU core count}"
alluxio.worker.network.block.reader.threads.max,"2048"
alluxio.worker.network.block.writer.threads.max,"1024"
alluxio.worker.network.flowcontrol.window,"2MB"
alluxio.worker.network.keepalive.time,"30sec"
alluxio.worker.network.keepalive.timeout,"30sec"
alluxio.worker.network.max.inbound.message.size,"4MB"
alluxio.worker.network.netty.boss.threads,"1"
alluxio.worker.network.netty.channel,"EPOLL"
alluxio.worker.network.netty.shutdown.quiet.period,"2sec"
alluxio.worker.network.netty.watermark.high,"32KB"
alluxio.worker.network.netty.watermark.low,"8KB"
alluxio.worker.network.netty.worker.threads,"2 * {CPU core count}"
alluxio.worker.network.permit.keepalive.time,"30s"
alluxio.worker.network.reader.buffer.pooled,"true"
alluxio.worker.network.reader.buffer.size,"4MB"
alluxio.worker.network.reader.max.chunk.size.bytes,"2MB"
alluxio.worker.network.shutdown.timeout,"15sec"
alluxio.worker.network.writer.buffer.size.messages,"8"
alluxio.worker.network.zerocopy.enabled,"true"
alluxio.worker.page.store.async.restore.enabled,"true"
alluxio.worker.page.store.async.write.enabled,"false"
alluxio.worker.page.store.async.write.threads,"16"
alluxio.worker.page.store.dirs,"/tmp/alluxio_cache"
alluxio.worker.page.store.eviction.retries,"10"
alluxio.worker.page.store.evictor.class,"alluxio.client.file.cache.evictor.LRUCacheEvictor"
alluxio.worker.page.store.evictor.lfu.logbase,"2.0"
alluxio.worker.page.store.evictor.nondeterministic.enabled,"false"
alluxio.worker.page.store.local.store.file.buckets,"1000"
alluxio.worker.page.store.overhead,"0.1"
alluxio.worker.page.store.page.size,"1MB"
alluxio.worker.page.store.quota.enabled,"false"
alluxio.worker.page.store.sizes,"512MB"
alluxio.worker.page.store.timeout.duration,"-1"
alluxio.worker.page.store.timeout.threads,"32"
alluxio.worker.page.store.type,"LOCAL"
alluxio.worker.principal,""
alluxio.worker.ramdisk.size,"2/3 of total system memory, or 1GB if system memory size cannot be determined"
alluxio.worker.register.lease.enabled,"${alluxio.master.worker.register.lease.enabled}"
alluxio.worker.register.lease.retry.max.duration,"${alluxio.worker.master.connect.retry.timeout}"
alluxio.worker.register.lease.retry.sleep.max,"10sec"
alluxio.worker.register.lease.retry.sleep.min,"1sec"
alluxio.worker.register.stream.batch.size,"1000000"
alluxio.worker.register.stream.complete.timeout,"5min"
alluxio.worker.register.stream.deadline,"15min"
alluxio.worker.register.stream.enabled,"true"
alluxio.worker.register.stream.response.timeout,"${alluxio.master.worker.register.stream.response.timeout}"
alluxio.worker.remote.io.slow.threshold,"10s"
alluxio.worker.reviewer.class,"alluxio.worker.block.reviewer.ProbabilisticBufferReviewer"
alluxio.worker.reviewer.probabilistic.hardlimit.bytes,"64MB"
alluxio.worker.reviewer.probabilistic.softlimit.bytes,"256MB"
alluxio.worker.rpc.executor.core.pool.size,"100"
alluxio.worker.rpc.executor.fjp.async,"true"
alluxio.worker.rpc.executor.fjp.min.runnable,"1"
alluxio.worker.rpc.executor.fjp.parallelism,"2 * {CPU core count}"
alluxio.worker.rpc.executor.keepalive,"60sec"
alluxio.worker.rpc.executor.max.pool.size,"1000"
alluxio.worker.rpc.executor.tpe.allow.core.threads.timeout,"true"
alluxio.worker.rpc.executor.tpe.queue.type,"LINKED_BLOCKING_QUEUE_WITH_CAP"
alluxio.worker.rpc.executor.type,"TPE"
alluxio.worker.rpc.port,"29999"
alluxio.worker.session.timeout,"1min"
alluxio.worker.startup.timeout,"10min"
alluxio.worker.storage.checker.enabled,"true"
alluxio.worker.tieredstore.block.lock.readers,"1000"
alluxio.worker.tieredstore.block.locks,"1000"
alluxio.worker.tieredstore.free.ahead.bytes,"0"
alluxio.worker.tieredstore.level0.alias,"MEM"
alluxio.worker.tieredstore.level0.dirs.mediumtype,"${alluxio.worker.tieredstore.level0.alias}"
alluxio.worker.tieredstore.level0.dirs.path,"/mnt/ramdisk on Linux, /Volumes/ramdisk on OSX"
alluxio.worker.tieredstore.level0.dirs.quota,"${alluxio.worker.ramdisk.size}"
alluxio.worker.tieredstore.level0.watermark.high.ratio,"0.95"
alluxio.worker.tieredstore.level0.watermark.low.ratio,"0.7"
alluxio.worker.tieredstore.level1.alias,""
alluxio.worker.tieredstore.level1.dirs.mediumtype,"${alluxio.worker.tieredstore.level1.alias}"
alluxio.worker.tieredstore.level1.dirs.path,""
alluxio.worker.tieredstore.level1.dirs.quota,""
alluxio.worker.tieredstore.level1.watermark.high.ratio,"0.95"
alluxio.worker.tieredstore.level1.watermark.low.ratio,"0.7"
alluxio.worker.tieredstore.level2.alias,""
alluxio.worker.tieredstore.level2.dirs.mediumtype,"${alluxio.worker.tieredstore.level2.alias}"
alluxio.worker.tieredstore.level2.dirs.path,""
alluxio.worker.tieredstore.level2.dirs.quota,""
alluxio.worker.tieredstore.level2.watermark.high.ratio,"0.95"
alluxio.worker.tieredstore.level2.watermark.low.ratio,"0.7"
alluxio.worker.tieredstore.levels,"1"
alluxio.worker.ufs.block.open.timeout,"5min"
alluxio.worker.ufs.instream.cache.enabled,"true"
alluxio.worker.ufs.instream.cache.expiration.time,"5min"
alluxio.worker.ufs.instream.cache.max.size,"5000"
alluxio.worker.web.bind.host,"0.0.0.0"
alluxio.worker.web.hostname,""
alluxio.worker.web.port,"30000"
alluxio.worker.whitelist,"/"
