operation,syntax
cat,"cat ""path"""
chgrp,"chgrp ""group"" ""path"""
chgrpr,"chgrpr ""group"" ""path"""
chmod,"chmod ""permission"" ""path"""
chmodr,"chmodr ""permission"" ""path"""
chown,"chown ""owner"" ""path"""
chownr,"chownr ""owner"" ""path"""
copyFromLocal,"copyFromLocal ""source path"" ""remote path"""
copyToLocal,"copyToLocal ""remote path"" ""local path"""
count,"count ""path"""
du,"du ""path"""
fileInfo,"fileInfo ""path"""
free,"free ""path"""
getCapacityBytes,getCapacityBytes
getUsedBytes,getUsedBytes
load,"load ""path"""
loadMetadata,"loadMetadata ""path"""
location,"location ""path"""
ls,"ls ""path"""
lsr,"lsr ""path"""
mkdir,"mkdir ""path1"" ... ""pathn"""
mount,"mount ""path"" ""uri"""
mv,"mv ""source"" ""destination"""
persist,"persist ""path"""
pin,"pin ""path"""
report,"report ""path"""
rm,"rm ""path"""
rmr,"rmr ""path"""
setTtl,"setTtl ""time"""
tail,"tail ""path"""
touch,"touch ""path"""
unmount,"unmount ""path"""
unpin,"unpin ""path"""
unsetTtl,unsetTtl
